country,program,people,spending_usd,source_id,notes
France,RSA,3600000,12800000000,50,EUR 11.9 bi payments 2024; ~3.6 mi people in beneficiary households; FX 1 EUR = 1.08 USD
Australia,Family Tax Benefit,4000000,9700000000,54,AUD 14.9 bi FTB 2023-24; ~4 mi people est. (2.43 mi children + carers); FX 1 AUD = 0.65 USD
Philippines,4Ps,17300000,2010000000,56,4.03 mi households x 4.3 people; PHP 112.8 bi budget 2024; FX 1 USD = 56 PHP
Indonesia,PKH,38600000,1850000000,57,10 mi families x 3.86 people; IDR 28.71 tri budget 2024; FX 1 USD = 15 500 IDR
Brazil,Bolsa Familia,57000000,32400000000,1,BRL 168.3 bi 2024; FX 1 USD = 5.2 BRL
